PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
Cooper Kupp,WR,LAR,DAL,222,45.50,6.50,19.50,9000,18.61,2.1,6.30
Adam Thielen,WR,CAR,HOU,150,43.50,3.50,20.00,6600,14.28,2.2,6.18
Najee Harris,RB,PIT,JAX,111,41.00,2.50,19.25,5100,10.62,2.1,6.18
Jake Ferguson,TE,DAL,LAR,-275,45.50,-6.50,26.00,3600,8.97,2.5,6.07
Garrett Wilson,WR,NYJ,NYG,-156,35.50,-3.00,19.25,6300,13.49,2.1,6.07
Michael Pittman,WR,IND,NO,100,43.50,1.00,21.25,6500,14.20,2.2,5.99
DeAndre Hopkins,WR,TEN,ATL,118,35.50,2.50,16.50,5500,13.57,2.5,5.91
Miles Sanders,RB,CAR,HOU,150,43.50,3.50,20.00,4900,10.18,2.1,5.84
Minnesota Vikings,D,MIN,GB,-126,42.00,-1.50,21.75,2500,5.67,2.3,5.79
Aaron Jones,RB,GB,MIN,106,42.00,1.50,20.25,6400,11.87,1.9,5.79
Kyle Pitts,TE,ATL,TEN,-142,35.50,-2.50,19.00,3800,9.32,2.5,5.68
