full_name,posteam,position,week,carries,carries_pg,pct_team_carries,rush_yards_pg,rush_yards_pc,rush_tds,exp_rush_yards_pc,ryoe_pc,rush_epa_pp,broken_tackles,broken_tackles_rate,ybc_pc,yac_pc,rz_carries,pct_team_rz_carries,i10_carries,pct_team_i10_carries,i5_carries,pct_team_i5_carries,opps,opps_pg,hvts,hvts_pg,hvt_pct
Jerome Ford,CLE,RB,9,20,20,0.5,44,2.2,0,3.637269975,-1.437269975,-0.3919745085,0,0,1,1.2,3,0.6,0,0,0,0,27,27,7,7,0.2592592593
Rachaad White,TB,RB,9,20,20,0.6451612903,73,3.65,2,2.956847859,0.693152141,0.1173835534,1,0.05,2.65,1,0,0,0,0,0,0,24,24,4,4,0.1666666667
Brian Robinson,WAS,RB,9,18,18,0.6206896552,63,3.5,1,4.135898837,-0.6358988369,-0.2138103079,0,0,2.611111111,0.8888888889,6,0.8571428571,1,1,1,1,20,20,3,3,0.15
D'Andre Swift,PHI,RB,9,18,18,0.5454545455,43,2.388888889,0,3.356371485,-0.9674825965,-0.252432796,2,0.1111111111,1.777777778,0.6111111111,1,0.5,0,0,0,0,20,20,2,2,0.1
Jonathan Taylor,IND,RB,9,18,18,0.6,47,2.611111111,0,3.255234032,-0.6441229207,-0.3553112657,2,0.1111111111,0.7777777778,1.833333333,2,1,0,0,0,0,23,23,5,5,0.2173913043
Derrick Henry,TEN,RB,9,17,17,0.68,75,4.411764706,1,4.418520725,-0.006756018968,0.2527149477,1,0.05882352941,2.764705882,1.647058824,1,1,1,1,0,0,21,21,5,5,0.2380952381
Alexander Mattison,MIN,RB,9,16,16,0.4848484848,44,2.75,0,4.107837237,-1.357837237,-0.2872047526,0,0,1.0625,1.6875,2,0.5,1,0.3333333333,0,0,18,18,3,3,0.1666666667
Breece Hall,NYJ,RB,9,16,16,0.8,50,3.125,0,3.61733446,-0.4923344603,-0.136521826,2,0.125,1.375,1.75,1,1,0,0,0,0,20,20,4,4,0.2
Chuba Hubbard,CAR,RB,9,16,16,0.5714285714,58,3.625,0,3.365622891,0.2593771093,-0.1033164379,2,0.125,1.5,2.125,2,0.5,0,0,0,0,22,22,6,6,0.2727272727
Isiah Pacheco,KC,RB,9,16,16,0.6666666667,66,4.125,0,4.215927179,-0.09092717921,-0.02265653654,0,0,2.5,1.625,5,0.7142857143,2,1,1,1,17,17,3,3,0.1764705882
Najee Harris,PIT,RB,9,16,16,0.5333333333,69,4.3125,1,4.321020229,-0.008520229403,0.06152051452,0,0,2.3125,2,5,0.8333333333,1,1,0,0,20,20,5,5,0.25
Saquon Barkley,NYG,RB,9,16,16,0.64,90,5.625,0,4.588686933,1.036313067,0.06733188093,0,0,5.25,0.375,1,0.5,0,0,0,0,20,20,4,4,0.2
Austin Ekeler,LAC,RB,9,14,14,0.6666666667,47,3.357142857,2,2.863964399,0.493178458,-0.09322484536,2,0.1428571429,1,2.357142857,0,0,0,0,0,0,21,21,7,7,0.3333333333
Joe Mixon,CIN,RB,9,14,14,0.6363636364,37,2.642857143,1,4.045425408,-1.402568265,-0.07530631384,0,0,1.571428571,1.071428571,1,0.5,1,1,0,0,20,20,7,7,0.35
Kareem Hunt,CLE,RB,9,14,14,0.35,38,2.714285714,1,3.845639297,-1.131353583,0.03456598203,1,0.07142857143,1.357142857,1.357142857,2,0.4,2,1,1,1,15,15,3,3,0.2
Devin Singletary,HOU,RB,9,13,13,0.6842105263,36,2.769230769,0,3.263041999,-0.4938112294,-0.3628472068,0,0,1.153846154,0.8461538462,4,0.8,3,0.75,0,0,15,15,5,5,0.3333333333
Justice Hill,BAL,RB,9,13,13,0.3170731707,40,3.076923077,0,4.340626611,-1.263703534,-0.1961810849,0,0,2.307692308,0.7692307692,0,0,0,0,0,0,14,14,1,1,0.07142857143
