Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,George Holani (40235870),George Holani,40235870,RB/FLEX,4000,TB@SEA 10/05/2025 04:05PM ET,SEA,1.3
RB,Kenny McIntosh (40235872),Kenny McIntosh,40235872,RB/FLEX,4000,TB@SEA 10/05/2025 04:05PM ET,SEA,0
RB,Khalil Herbert (40235874),Khalil Herbert,40235874,RB/FLEX,4000,TB@SEA 10/05/2025 04:05PM ET,SEA,0
RB,Brady Russell (40235876),Brady Russell,40235876,RB/FLEX,4000,TB@SEA 10/05/2025 04:05PM ET,SEA,0
RB,Robbie Ouzts (40235878),Robbie Ouzts,40235878,RB/FLEX,4000,TB@SEA 10/05/2025 04:05PM ET,SEA,0
WR,Jalen McMillan (40236058),Jalen McMillan,40236058,WR/FLEX,4000,TB@SEA 10/05/2025 04:05PM ET,TB,0
QB,Kyle Allen (40235709),Kyle Allen,40235709,QB,4000,DET@CIN 10/05/2025 04:25PM ET,DET,-0.1
QB,C.J. Beathard (40235715),C.J. Beathard,40235715,QB,4000,DET@CIN 10/05/2025 04:25PM ET,DET,0
QB,Brett Rypien (40235716),Brett Rypien,40235716,QB,4000,DET@CIN 10/05/2025 04:25PM ET,CIN,0
QB,Joe Burrow (40235717),Joe Burrow,40235717,QB,4000,DET@CIN 10/05/2025 04:25PM ET,CIN,7.93
