full_name,posteam,position,week,targets,targets_pg,target_share,receptions,rec_pg,rec_ypg,rec_tds,rz_targets_pg,rz_target_share,rec_drops,rec_drop_rate,rec_ay_pg,ay_share,rec_adot,wopr,racr,yac,yac_pr
Rhamondre Stevenson,NE,RB,7,6,6,0.1935483871,6,6,51,0,0,0,0,0,0,0,0,0.2709677419,Inf,51,8.5
Josh Downs,IND,WR,7,6,6,0.2222222222,5,5,125,1,0,0,0,0,97,0.4641148325,16.16666667,0.6359914939,1.288659794,65,13
Zay Flowers,BAL,WR,7,6,6,0.2142857143,4,4,75,0,1,0.3333333333,6,1,53,0.2145748988,8.833333333,0.4502024291,1.41509434,31,7.75
Jameson Williams,DET,WR,7,6,6,0.1016949153,0,0,0,0,0,0,6,1,139,0.4076246334,23.16666667,0.4277101248,0,0,NA
Mark Andrews,BAL,TE,7,6,6,0.2142857143,4,4,63,2,0,0,0,0,39,0.1578947368,6.5,0.4105263158,1.615384615,33,8.25
Courtland Sutton,DEN,WR,7,6,6,0.2,6,6,76,1,0,0,0,0,66,0.2907488987,11,0.4835242291,1.151515152,10,1.666666667
Christian Kirk,JAX,WR,7,6,6,0.2,6,6,90,1,0,0,0,0,45,0.2356020942,7.5,0.444921466,2,45,7.5
Jamal Agnew,JAX,WR,7,6,6,0.2,4,4,36,0,0,0,0,0,48,0.2513089005,8,0.4559162304,0.75,18,4.5
Rashee Rice,KC,WR,7,6,6,0.1395348837,5,5,60,1,3,0.375,0,0,39,0.1137026239,6.5,0.2749406739,1.538461538,47,9.4
Jaylen Waddle,MIA,WR,7,6,6,0.1666666667,6,6,63,0,1,0.5,0,0,48,0.1853281853,8,0.3630630631,1.3125,15,2.5
Diontae Johnson,PIT,WR,7,6,6,0.2222222222,5,5,79,0,1,0.3333333333,0,0,59,0.2769953052,9.833333333,0.5050078247,1.338983051,37,7.4
Brandon Aiyuk,SF,WR,7,6,6,0.1935483871,5,5,57,0,0,0,0,0,52,0.2166666667,8.666666667,0.4226344086,1.096153846,15,3
K.J. Osborn,MIN,WR,7,6,6,0.1333333333,5,5,47,0,0,0,6,1,67,0.2690763052,11.16666667,0.3750200803,0.7014925373,-1,-0.2
Logan Thomas,WAS,TE,7,6,6,0.125,4,4,51,0,2,0.1666666667,0,0,43,0.1140583554,7.166666667,0.2548408488,1.186046512,34,8.5
Jake Bobo,SEA,WR,7,5,5,0.1923076923,4,4,61,1,1,0.5,0,0,67,0.2925764192,13.4,0.4740342627,0.9104477612,9,2.25
Tyler Lockett,SEA,WR,7,5,5,0.1923076923,4,4,38,0,0,0,0,0,59,0.2576419214,11.8,0.4495801142,0.6440677966,2,0.5
Emari Demercado,ARI,RB,7,5,5,0.1315789474,4,4,17,0,0,0,0,0,3,0.01271186441,0.6,0.1931088314,5.666666667,13,3.25
Michael Wilson,ARI,WR,7,5,5,0.1315789474,3,3,26,0,1,0.1111111111,0,0,54,0.2288135593,10.8,0.3443800178,0.4814814815,2,0.6666666667
Kyle Pitts,ATL,TE,7,5,5,0.1923076923,3,3,47,0,0,0,0,0,46,0.2266009852,9.2,0.4278514589,1.02173913,22,7.333333333
Gabe Davis,BUF,WR,7,5,5,0.1162790698,1,1,6,0,0,0,0,0,78,0.1737193764,15.6,0.2843942611,0.07692307692,2,2
Michael Pittman,IND,WR,7,5,5,0.1851851852,2,2,83,1,0,0,0,0,71,0.3397129187,14.2,0.4970583023,1.169014085,61,30.5
Jerry Jeudy,DEN,WR,7,5,5,0.1666666667,5,5,64,0,1,0.3333333333,0,0,48,0.2114537445,9.6,0.3813509545,1.333333333,16,3.2
Luke Musgrave,GB,TE,7,5,5,0.15625,4,4,30,0,0,NA,0,0,18,0.0814479638,3.6,0.2757635747,1.666666667,16,4
Christian Watson,GB,WR,7,5,5,0.15625,3,3,27,0,0,NA,5,1,35,0.1583710407,7,0.3296097285,0.7714285714,10,3.333333333
Romeo Doubs,GB,WR,7,5,5,0.15625,2,2,30,1,0,NA,0,0,69,0.3122171946,13.8,0.4373020362,0.4347826087,16,8
