RK,NAME,TEAM,POS,WK,OPP,RECEIVING_TGTS,RECEIVING_REC,CATCH%,RECEIVING_YDS,RECEIVING_TD,LONG,YDS/TGT,YDS/REC,RUSHING_ATT,RUSHING_YDS,RUSHING_AVG,RUSHING_TD,FUMBLES,FUMBLES_LOST,FPTS
4,Dalton Kincaid,BUF,TE,3,MIA,6,5,83.3,66,1,20,11.0,13.2,0,0,,0,0,0,17.6
5,T.J. Hockenson,MIN,TE,3,CIN,6,5,83.3,49,1,13,8.2,9.8,0,0,,0,0,0,15.9
6,Trey McBride,ARI,TE,3,SF,8,5,62.5,43,1,17,5.4,8.6,0,0,,0,0,0,15.3
7,Brenton Strange,JAX,TE,3,HOU,7,6,85.7,61,0,16,8.7,10.2,0,0,,0,0,0,12.1
8,Chig Okonkwo,TEN,TE,3,IND,6,5,83.3,66,0,22,11.0,13.2,0,0,,0,0,0,11.6
9,Juwan Johnson,NO,TE,3,SEA,8,6,75.0,51,0,21,6.4,8.5,0,0,,0,0,0,11.1
10,Dallas Goedert,PHI,TE,3,LAR,2,1,50.0,33,1,33,16.5,33.0,0,0,,0,0,0,10.3
11,Jack Stoll,NO,TE,3,SEA,3,2,66.7,21,1,13,7.0,10.5,0,0,,0,0,0,10.1
12,Drew Sample,CIN,TE,3,MIN,3,2,66.7,20,1,16,6.7,10.0,0,0,,0,0,0,10.0
13,Brock Bowers,LV,TE,3,WAS,5,4,80.0,38,0,18,7.6,9.5,0,0,,0,0,0,9.8
14,Oronde Gadsden,LAC,TE,3,DEN,7,5,71.4,46,0,17,6.6,9.2,0,0,,0,0,0,9.6
15,John FitzPatrick,GB,TE,3,CLE,2,2,100.0,12,1,9,6.0,6.0,0,0,,0,0,0,9.2
16,David Njoku,CLE,TE,3,GB,7,5,71.4,40,0,13,5.7,8.0,0,0,,0,0,0,9.0
17,Dalton Schultz,HOU,TE,3,JAX,6,5,83.3,39,0,12,6.5,7.8,0,0,,0,0,0,8.9
18,Josh Oliver,MIN,TE,3,CIN,1,1,100.0,12,1,12,12.0,12.0,0,0,,0,0,0,8.2
19,Cole Kmet,CHI,TE,3,DAL,1,1,100.0,10,1,10,10.0,10.0,0,0,,0,0,0,8.0
20,Kyle Pitts Sr.,ATL,TE,3,CAR,6,4,66.7,39,0,17,6.5,9.8,0,0,,0,0,0,7.9
21,Jackson Hawes,BUF,TE,3,MIA,1,1,100.0,5,1,5,5.0,5.0,0,0,,0,0,0,7.5
22,Sam LaPorta,DET,TE,3,BAL,4,4,100.0,33,0,14,8.2,8.2,0,0,,0,0,0,7.3
23,Tyler Warren,IND,TE,3,TEN,5,3,60.0,38,0,17,7.6,12.7,0,0,,0,0,0,6.8
